colorspace,quantize_method,total_bits,channel_bits,q1,q2,q3,error_value,filename,folder,config,bit_efficiency,channel_sum
YUV,nonuniform,6,132,1,3,2,813,out_YUV_nonuniform_N6_132_error_813.png,C2M2,C2M2,0.007380073800738007,6
YUV,nonuniform,6,141,1,4,1,870,out_YUV_nonuniform_N6_141_error_870.png,C2M2,C2M2,0.006896551724137931,6
YUV,nonuniform,6,213,2,1,3,213,out_YUV_nonuniform_N6_213_error_213.png,C2M2,C2M2,0.028169014084507043,6
YUV,nonuniform,6,222,2,2,2,204,out_YUV_nonuniform_N6_222_error_204.png,C2M2,C2M2,0.029411764705882353,6
YUV,nonuniform,6,231,2,3,1,257,out_YUV_nonuniform_N6_231_error_257.png,C2M2,C2M2,0.023346303501945526,6
YUV,nonuniform,6,312,3,1,2,95,out_YUV_nonuniform_N6_312_error_95.png,C2M2,C2M2,0.06315789473684211,6
YUV,nonuniform,6,321,3,2,1,127,out_YUV_nonuniform_N6_321_error_127.png,C2M2,C2M2,0.047244094488188976,6
YUV,nonuniform,6,411,4,1,1,97,out_YUV_nonuniform_N6_411_error_97.png,C2M2,C2M2,0.061855670103092786,6
YUV,nonuniform,8,116,1,1,6,837,out_YUV_nonuniform_N8_116_error_837.png,C2M2,C2M2,0.009557945041816009,8
YUV,nonuniform,8,125,1,2,5,805,out_YUV_nonuniform_N8_125_error_805.png,C2M2,C2M2,0.009937888198757764,8
YUV,nonuniform,8,134,1,3,4,805,out_YUV_nonuniform_N8_134_error_805.png,C2M2,C2M2,0.009937888198757764,8
YUV,nonuniform,8,143,1,4,3,801,out_YUV_nonuniform_N8_143_error_801.png,C2M2,C2M2,0.009987515605493134,8
YUV,nonuniform,8,152,1,5,2,810,out_YUV_nonuniform_N8_152_error_810.png,C2M2,C2M2,0.009876543209876543,8
YUV,nonuniform,8,161,1,6,1,869,out_YUV_nonuniform_N8_161_error_869.png,C2M2,C2M2,0.009205983889528193,8
YUV,nonuniform,8,215,2,1,5,212,out_YUV_nonuniform_N8_215_error_212.png,C2M2,C2M2,0.03773584905660377,8
YUV,nonuniform,8,224,2,2,4,199,out_YUV_nonuniform_N8_224_error_199.png,C2M2,C2M2,0.04020100502512563,8
YUV,nonuniform,8,233,2,3,3,197,out_YUV_nonuniform_N8_233_error_197.png,C2M2,C2M2,0.04060913705583756,8
YUV,nonuniform,8,242,2,4,2,200,out_YUV_nonuniform_N8_242_error_200.png,C2M2,C2M2,0.04,8
YUV,nonuniform,8,251,2,5,1,255,out_YUV_nonuniform_N8_251_error_255.png,C2M2,C2M2,0.03137254901960784,8
YUV,nonuniform,8,314,3,1,4,88,out_YUV_nonuniform_N8_314_error_88.png,C2M2,C2M2,0.09090909090909091,8
YUV,nonuniform,8,323,3,2,3,81,out_YUV_nonuniform_N8_323_error_81.png,C2M2,C2M2,0.09876543209876543,8
YUV,nonuniform,8,332,3,3,2,80,out_YUV_nonuniform_N8_332_error_80.png,C2M2,C2M2,0.1,8
YUV,nonuniform,8,341,3,4,1,122,out_YUV_nonuniform_N8_341_error_122.png,C2M2,C2M2,0.06557377049180328,8
YUV,nonuniform,8,413,4,1,3,52,out_YUV_nonuniform_N8_413_error_52.png,C2M2,C2M2,0.15384615384615385,8
YUV,nonuniform,8,422,4,2,2,47,out_YUV_nonuniform_N8_422_error_47.png,C2M2,C2M2,0.1702127659574468,8
YUV,nonuniform,8,431,4,3,1,82,out_YUV_nonuniform_N8_431_error_82.png,C2M2,C2M2,0.0975609756097561,8
YUV,nonuniform,8,512,5,1,2,40,out_YUV_nonuniform_N8_512_error_40.png,C2M2,C2M2,0.2,8
YUV,nonuniform,8,521,5,2,1,69,out_YUV_nonuniform_N8_521_error_69.png,C2M2,C2M2,0.11594202898550725,8
YUV,nonuniform,8,611,6,1,1,74,out_YUV_nonuniform_N8_611_error_74.png,C2M2,C2M2,0.10810810810810811,8
